Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,2014/10/13,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Gauteng,Centeral,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2014/10/20
49,293,2012/10/01,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Gauteng,Centeral,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012/10/02
50,293,2012/10/01,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,Gauteng,Centeral,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012/10/03
80,483,2011/07/10,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Gauteng,Centeral,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2011/07/12
85,515,2014/08/28,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Gauteng,Centeral,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2014/08/30
86,515,2014/08/28,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Gauteng,Centeral,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2014/08/30
97,613,2013/02/17,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,Gauteng,Centeral,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2013/02/17
98,613,2013/02/17,High,22,905.08,0.09,Regular Air,127.70,42.76,6.22,Carl Jackson,Gauteng,Centeral,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2013/02/18
103,643,2014/02/24,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,Gauteng,Centeral,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,2014/02/25
107,678,2014/02/26,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Gauteng,Centeral,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2014/02/26
127,807,2014/11/23,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Gauteng,Centeral,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2014/11/24
128,807,2014/11/23,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,Gauteng,Centeral,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2014/11/24
134,868,2012/06/08,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,Carlos Daly,Gauteng,Centeral,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012/06/09
135,868,2012/06/08,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Gauteng,Centeral,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012/06/10
149,933,2012/08/04,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Gauteng,Centeral,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012/08/04
160,995,2013/01/30,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Gauteng,Centeral,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2013/01/31
161,998,2013/11/25,Not Specified,16,248.26,0.07,Regular Air,93.80,15.74,1.39,Allen Rosenblatt,Gauteng,Centeral,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2013/11/26
175,1154,2012/02/14,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Gauteng,Centeral,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012/02/16
176,1154,2012/02/14,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69,Sylvia Foulston,Gauteng,Centeral,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012/02/16
203,1344,2012/04/15,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,Gauteng,Centeral,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,2012/04/22
204,1344,2012/04/15,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,Gauteng,Centeral,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012/04/19
213,1412,2014/03/12,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Gauteng,Centeral,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,2014/03/14
214,1412,2014/03/12,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Gauteng,Centeral,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2014/03/14
229,1539,2014/02/09,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Gauteng,Centeral,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2014/02/11
230,1539,2014/02/09,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Gauteng,Centeral,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2014/02/14
231,1540,2012/08/04,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Gauteng,Centeral,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,2012/08/06
249,1702,2013/01/06,High,23,67.24,0.06,Regular Air,4.90,2.84,0.93,Annie Cyprus,Gauteng,Centeral,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,2013/01/07
250,1761,2014/12/23,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Gauteng,Centeral,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,2014/12/25
256,1792,2014/11/08,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Gauteng,Centeral,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,2014/11/13
330,2275,2012/10/21,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Gauteng,Centeral,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,2012/10/22
331,2277,2014/06/01,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Gauteng,Centeral,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2014/06/02
332,2277,2014/06/01,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Gauteng,Centeral,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,2014/06/03
362,2532,2011/10/10,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Gauteng,Centeral,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2011/10/11
363,2532,2011/10/10,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Gauteng,Centeral,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2011/10/11
381,2631,2014/09/23,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Gauteng,Centeral,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,2014/09/25
406,2757,2011/07/19,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Gauteng,Centeral,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,2011/07/19
413,2791,2013/10/09,High,47,191.67,0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,Gauteng,Centeral,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2013/10/09
414,2791,2013/10/09,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30,Eugene Barchas,Gauteng,Centeral,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,2013/10/11
415,2791,2013/10/09,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,Gauteng,Centeral,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,2013/10/10
440,2976,2014/12/09,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Gauteng,Centeral,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,2014/12/11
471,3232,2012/10/08,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,Gauteng,Centeral,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,2012/10/10
513,3524,2012/05/02,High,21,427.32,0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Gauteng,Centeral,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2012/05/03
577,3908,2014/03/08,Medium,8,820.284,0,Regular Air,-180.20,115.99,2.5,Dorothy Wardle,Gauteng,Centeral,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,2014/03/08
606,4132,2013/01/28,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Gauteng,Centeral,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,2013/01/30
656,4612,2014/09/19,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,Gauteng,Centeral,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,2014/09/21
669,4676,2011/08/31,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Gauteng,Centeral,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,2011/09/01
670,4676,2011/08/31,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Gauteng,Centeral,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,2011/09/02
671,4676,2011/08/31,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Gauteng,Centeral,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2011/09/02
672,4676,2011/08/31,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Gauteng,Centeral,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,2011/09/01
734,5284,2011/07/08,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Gauteng,Centeral,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2011/07/10
735,5316,2013/01/30,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Gauteng,Centeral,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2013/02/01
755,5409,2012/01/08,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Gauteng,Centeral,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,2012/01/13
769,5506,2014/11/07,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Gauteng,Centeral,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2014/11/08
782,5569,2014/04/29,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,Gauteng,Centeral,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,2014/05/01
786,5607,2011/12/31,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Gauteng,Centeral,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2012/01/03
817,5894,2013/08/12,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann Chong,Gauteng,Centeral,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,2013/08/13
818,5894,2013/08/12,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Gauteng,Centeral,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,2013/08/15
821,5925,2011/11/12,Low,44,3922.42,0.08,Regular Air,-354.90,92.23,39.61,Joy Bell,Gauteng,Centeral,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,2011/11/19
822,5925,2011/11/12,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,Gauteng,Centeral,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2011/11/19
839,6016,2012/01/20,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Gauteng,Centeral,Home Office,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,2012/01/20
853,6116,2013/03/20,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Gauteng,Centeral,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2013/03/22
863,6182,2012/07/21,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Gauteng,Centeral,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,2012/07/28
864,6182,2012/07/21,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Gauteng,Centeral,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012/07/25
911,6535,2012/06/12,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Gauteng,Centeral,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012/06/15
950,6884,2013/01/15,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Gauteng,Centeral,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2013/01/20
951,6884,2013/01/15,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Gauteng,Centeral,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,2013/01/20
956,6916,2014/06/04,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Gauteng,Centeral,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,2014/06/08
963,6980,2014/02/18,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Gauteng,Centeral,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2014/02/19
964,6982,2011/11/16,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Gauteng,Centeral,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011/11/18
965,6982,2011/11/16,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Gauteng,Centeral,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,2011/11/18
966,6982,2011/11/16,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Gauteng,Centeral,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011/11/18
988,7110,2011/08/07,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Gauteng,Centeral,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,2011/08/11
1017,7430,2014/06/08,Medium,50,751.77,0.05,Regular Air,353.20,15.67,1.39,Barry Weirich,Gauteng,Centeral,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,2014/06/09
1073,7906,2013/10/17,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Gauteng,Centeral,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,2013/10/17
1154,8391,2011/08/28,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Gauteng,Centeral,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,2011/08/29
1156,8419,2011/09/29,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Gauteng,Centeral,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2011/10/01
1157,8419,2011/09/29,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Gauteng,Centeral,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2011/09/30
1205,8833,2012/05/04,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,Nicole Hansen,Gauteng,Centeral,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2012/05/08
1226,8995,2013/01/17,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,Beth Paige,Gauteng,Centeral,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,2013/01/18
1227,8995,2013/01/17,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northern Cape,Western,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2013/01/18
1228,8995,2013/01/17,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northern Cape,Western,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,2013/01/18
1229,8995,2013/01/17,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northern Cape,Western,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,2013/01/18
1230,8995,2013/01/17,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northern Cape,Western,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,2013/01/19
1258,9126,2013/11/17,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northern Cape,Western,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,2013/11/18
1259,9127,2011/10/10,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Northern Cape,Western,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,2011/10/12
1299,9509,2012/10/07,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northern Cape,Western,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,2012/10/08
1300,9509,2012/10/07,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northern Cape,Western,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,2012/10/08
1301,9509,2012/10/07,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northern Cape,Western,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,2012/10/07
1337,9763,2011/08/13,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northern Cape,Western,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,2011/08/16
1370,9927,2011/08/16,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northern Cape,Western,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,2011/08/17
